지역,구분,no.,시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
,강원,13,강원특별자치도,춘천시,라움어린이집,민간,정상,24420,강원특별자치도 춘천시 지석로 64 퇴계주공6단지 주민복지관내(퇴계동),033-252-4680,033-252-4681,5,120,1,7,8,34,18,37.85046729,127.7422414,운영,,2002-06-02,,,
,강원,14,강원특별자치도,춘천시,별숲어린이집,민간,정상,24419,"강원특별자치도 춘천시 승지골길16번길 47 (퇴계동, 퇴계뜨란채아파트1007동 관리동)",070-7399-7674,--,4,98,0,6,9,36,24,37.84900177,127.7451183,미운영,,2006-06-01,,,
,강원,15,강원특별자치도,춘천시,한울어린이집,민간,정상,24379,"강원특별자치도 춘천시 퇴계로 167 관리동 (퇴계동, 퇴계주공1차아파트)",033-253-9373,033-253-9373,3,167,0,4,5,24,9,37.86004431,127.7369887,미운영,,2000-10-12,,,
,강원,16,강원특별자치도,춘천시,은영어린이집,민간,정상,24311,강원특별자치도 춘천시 후석로228번길 16 (후평동),033-243-9211,033-243-9213,7,397,1,11,15,145,41,37.87142391,127.754453,운영,,1997-04-18,,,
,강원,17,강원특별자치도,춘천시,아이코코어린이집,민간,정상,24413,"강원특별자치도 춘천시 지석로 29 관리동1층(석사동,퇴계(5)주공아파트)",033-254-8259,033-254-8259,3,167,0,5,9,39,24,37.85367828,127.7384342,운영,,1994-11-03,,,
,강원,18,강원특별자치도,춘천시,산하어린이집,민간,정상,24216,강원특별자치도 춘천시 동면 만천로 165-16 ,033-242-3461,033-242-3461,5,189,1,8,8,61,37,37.88454319,127.7556244,운영,,1999-10-02,,,
,강원,19,강원특별자치도,춘천시,지앤키어린이집,민간,재개,24414,"강원특별자치도 춘천시 지석로 67 관리동내(석사동,현진에버빌2차아파트)",033-254-2279,033-254-2204,4,104,0,6,13,38,34,37.8527586,127.742561,운영,,2006-07-04,,,
,강원,20,강원특별자치도,춘천시,본아미강남어린이집,민간,정상,24310,강원특별자치도 춘천시 세실로 173 (후평동),033-244-6700,033-244-6701,7,297,1,10,10,68,37,37.87281675,127.7574299,운영,www.cyworld.com/2446700,2004-12-04,,,
,강원,21,강원특별자치도,춘천시,다경어린이집,민간,정상,24206,강원특별자치도 춘천시 신북읍 율문4길 20 (신북읍 304-1),033-243-0738,033-243-5248,6,268,1,11,12,98,82,37.92527646,127.748242,운영,,2003-03-31,,,
,강원,22,강원특별자치도,춘천시,뉴엔젤어린이집,가정,재개,24255,강원특별자치도 춘천시 삭주로94번길 13-7 1층,010-7160-1655,033-252-7505,3,58,0,4,4,16,4,37.88254814,127.7420916,미운영,,2002-10-17,,,
,강원,23,강원특별자치도,춘천시,그림나라어린이집,가정,정상,24375,"강원특별자치도 춘천시 남춘천새길 11 102-101(퇴계동,  휴먼시아남춘천1단지아파트)",033-262-3373,033-262-3373,3,73,1,4,7,20,9,37.86091204,127.7335052,운영,,2003-05-15,,,
,강원,24,강원특별자치도,춘천시,양지어린이집,사회복지법인,정상,24466,강원특별자치도 춘천시 남산면 광판양지길 43 ,033-263-7573,033-263-7576,4,275,1,8,5,97,6,37.73310629,127.6968568,운영,,1996-12-26,,,
,강원,25,강원특별자치도,춘천시,피노키오어린이집,사회복지법인,정상,24239,강원특별자치도 춘천시 선들길 16 (삼천동),033-242-9922,033-242-9923,7,307,1,11,12,110,31,37.86721249,127.7057573,운영,,1997-08-07,,,
,강원,26,강원특별자치도,춘천시,애니와투니어린이집,국공립,정상,24357,강원특별자치도 춘천시 약사고개길46번길 14-24 ,033-241-2415,033-241-3683,7,693,2,20,26,75,73,37.8736568,127.7251659,미운영,,2001-04-16,,,
,강원,27,강원특별자치도,춘천시,사회문화어린이집,국공립,정상,24232,강원특별자치도 춘천시 후석로440번길 9 (후평동),033-251-0617,033-251-0619,8,302,1,16,19,122,74,37.8892877,127.7439329,운영,,1996-12-30,,,
,강원,28,강원특별자치도,춘천시,하늘어린이집,사회복지법인,정상,24211,강원특별자치도 춘천시 동면 지내1길 10 ,033-242-2116,033-242-2126,4,200,1,8,7,87,21,37.9159231,127.7787828,운영,,1996-02-29,,,
,강원,29,강원특별자치도,춘천시,근화어린이집,국공립,정상,24248,강원특별자치도 춘천시 소양로1가 후석로 573 (근화동),033-252-7819,033-253-7819,7,380,1,22,24,90,74,37.893803,127.7302037,운영,,1992-01-01,,,
,강원,30,강원특별자치도,춘천시,사우어린이집,국공립,정상,24226,강원특별자치도 춘천시 충열로7번길 9 (우두동),033-252-6621,033-255-4620,7,513,1,26,34,141,127,37.90156359,127.729912,운영,,1992-01-01,,,
,강원,31,강원특별자치도,춘천시,해나어린이집,사회복지법인,정상,24226,강원특별자치도 춘천시 충열로67번길 38 (우두동),033-241-6621,070-8275-0230,5,203,1,6,16,83,70,37.90276837,127.7328129,운영,,1997-12-09,,,
,강원,32,강원특별자치도,춘천시,신포어린이집,법인·단체등,정상,24200,강원특별자치도 춘천시 사북면 영서로 4819-14 ,033-243-9567,033-243-9567,3,300,0,4,5,43,5,38.03917323,127.641796,운영,,1994-01-24,,,
,강원,33,강원특별자치도,춘천시,성암어린이집,사회복지법인,정상,24408,강원특별자치도 춘천시 동내면 대룡산길 44-19 (사암리1202),033-261-5230,033-262-9170,6,338,1,13,10,79,42,37.8381432,127.7654255,운영,,1992-12-30,,,
,강원,34,강원특별자치도,춘천시,진실어린이집,사회복지법인,정상,24204,강원특별자치도 춘천시 신북읍 맥국길 74 ,033-242-0660,033-242-1660,5,298,1,8,14,82,41,37.93656326,127.7757585,운영,,1996-11-04,,,
,강원,35,강원특별자치도,춘천시,한솔어린이집,사회복지법인,정상,24205,강원특별자치도 춘천시 신북읍 신북로 99 ,033-244-5024,033-244-5025,5,251,1,7,14,83,41,37.9340539,127.7510903,운영,,1997-11-13,,,
,강원,36,강원특별자치도,춘천시,푸른솔어린이집,사회복지법인,정상,24212,강원특별자치도 춘천시 동면 금베이길 75-3 ,033-243-5055,033-243-5056,5,204,1,7,7,62,13,37.87672499,127.7860341,운영,,1996-07-09,,,
,강원,37,강원특별자치도,춘천시,퇴계연꽃어린이집,국공립,정상,24427,강원특별자치도 춘천시 퇴계공단1길 18 (퇴계동),033-262-2297,033-262-2298,8,416,1,14,15,148,43,37.84677604,127.7363897,운영,다음카페-춘천연꽃어린이집,1993-12-31,,,
,강원,38,강원특별자치도,춘천시,하나어린이집,법인·단체등,정상,24223,"강원특별자치도 춘천시 사우로 27 (사농동, 강원도장애인종합복지관 3층)",033-255-2496,033-255-2494,5,105,1,18,22,50,33,37.90742396,127.7274638,운영,,1996-06-04,,,
,강원,39,강원특별자치도,춘천시,애솔어린이집,사회복지법인,정상,24216,강원특별자치도 춘천시 동면 만천로143번길 46 ,033-255-6744,033-256-6744,5,225,1,7,12,74,33,37.87992693,127.7614955,운영,http://town.cyword.com/aesol,2001-04-11,,,
,강원,40,강원특별자치도,춘천시,효자어린이집,국공립,정상,24372,강원특별자치도 춘천시 남춘로61번길 20 (효자동),033-257-4293,033-257-4297,5,252,1,19,20,95,87,37.86728591,127.7315215,운영,,1990-06-12,,,
,강원,41,강원특별자치도,춘천시,사랑이 가득한 어린이집,가정,정상,24420,"강원특별자치도 춘천시 지석로 62 603동 105호(퇴계동, 퇴계주공6단지아파트)",033-257-6179,033-257-6179,3,85,1,4,3,13,3,37.84829271,127.7405545,미운영,,2006-03-04,,,
,강원,42,강원특별자치도,춘천시,아름드리어린이집,가정,정상,24300,"강원특별자치도 춘천시 후석로326번길 13 203동 104호(후평동, 현대2차아파트)",033-243-7679,033-243-7679,4,104,1,4,6,19,10,37.88134755,127.7509119,운영,msmi22@naver.com,2006-02-24,,,
,강원,43,강원특별자치도,춘천시,월드비전춘천어린이집,법인·단체등,정상,24362,강원특별자치도 춘천시 근화길 95 (효자동),033-252-8783,033-252-8784,7,750,2,16,21,99,86,37.87031324,127.7225357,운영,https://wv8783.kidsnote.ac,1999-01-14,,,
,강원,44,강원특별자치도,춘천시,또래또리어린이집,가정,정상,24441,강원특별자치도 춘천시 공원2길 11-1 (퇴계동),033-243-3708,033-243-3708,3,89,0,4,8,20,19,37.8609272,127.7240392,운영,cafe.daum.net/2433708,2004-02-23,,,
,강원,45,강원특별자치도,춘천시,보배어린이집,민간,정상,24450,강원특별자치도 춘천시 춘주로 174 (퇴계동),033-241-1782,033-241-1782,6,164,1,9,8,62,26,37.85765522,127.7277584,운영,,1995-12-11,,,
,강원,46,강원특별자치도,춘천시,삐삐어린이집,가정,정상,24278,"강원특별자치도 춘천시 후석로 325 111동 108호(후평동, 춘천더샵아파트)",033-254-2696,033-254-2696,4,71,3,4,6,20,16,37.87984631,127.7478875,미운영,,2004-02-09,,,
,강원,47,강원특별자치도,춘천시,동심삐아제어린이집,민간,정상,24455,강원특별자치도 춘천시 백석골길 4 (퇴계동),033-244-7900,033-244-7910,6,170,1,7,10,69,23,37.85714843,127.7217975,운영,,2000-10-30,,,
,강원,48,강원특별자치도,춘천시,호반 어린이집,국공립,정상,24241,강원특별자치도 춘천시 소양로163번길 55 (근화동),033-242-7722,033-242-7726,5,347,1,15,19,81,56,37.89163663,127.7247535,운영,,1992-01-01,,,
,강원,49,강원특별자치도,춘천시,나무별어린이집,가정,정상,24387,강원특별자치도 춘천시 효석로135번길 15-6 (석사동),033-253-9902,033-253-9902,4,112,0,6,6,20,10,37.85855105,127.7435029,운영,,2003-11-03,,,
,강원,50,강원특별자치도,춘천시,푸른금산어린이집,법인·단체등,정상,24461,강원특별자치도 춘천시 서면 금산길 39-12 ,033-243-9154,033-243-9152,4,148,1,9,8,62,12,37.89980598,127.6922913,운영,http://cafe.daum.net/prks,1995-08-07,,,
,강원,51,강원특별자치도,춘천시,사랑어린이집,민간,정상,24261,강원특별자치도 춘천시 향교앞길 5 (교동),033-255-5521,033-255-5521,4,76,1,8,9,28,24,37.88061134,127.734389,운영,,1996-05-27,,,
,강원,52,강원특별자치도,춘천시,킹스키즈어린이집,민간,정상,24399,강원특별자치도 춘천시 동내면 거두길 92-4 킹스키즈어린이집,033-262-7000,033-263-8890,8,274,1,12,9,82,20,37.86059225,127.7679758,운영,,1999-06-17,,,
,강원,53,강원특별자치도,춘천시,우리 동그라미 어린이집,민간,정상,24302,강원특별자치도 춘천시 보안길 54-7 ,033-252-4828,033-251-0606,5,208,1,6,10,49,35,37.87970289,127.7516291,운영,,1997-11-22,,,
,강원,54,강원특별자치도,춘천시,아이린어린이집,가정,정상,24392,"강원특별자치도 춘천시 퇴계로 220-19 관리동(석사동, 퇴계주공3단지아파트)",033-251-2580,033-262-5585,3,70,0,7,4,17,8,37.8547839,127.7431312,운영,,2002-12-16,,,
,강원,55,강원특별자치도,춘천시,아이뜰어린이집,민간,정상,24249,강원특별자치도 춘천시 소양로2가 모수물길 54 소양현대아파트내,033-242-2332,033-242-2332,6,152,0,8,11,49,25,37.88854119,127.7267732,운영,http//cafe.naver.com//kidisigarden.,1993-09-25,,,
,강원,56,강원특별자치도,춘천시,파란하늘 어린이집,가정,정상,24394,강원특별자치도 춘천시 새롬공원길4번길 3-12 ,033-264-9947,033-264-9947,3,120,1,4,6,20,15,37.85306014,127.7476503,운영,bluesky9947.modoo.at,2003-06-02,,,
,강원,57,강원특별자치도,춘천시,아기무지개어린이집,가정,정상,24450,"강원특별자치도 춘천시 춘주로 174 ,107동102호(퇴계동, 그린타운아파트)",033-253-3353,033-253-3353,4,77,0,6,7,20,17,37.85780553,127.7281508,운영,,1994-03-17,,,
,강원,58,강원특별자치도,춘천시,다솜어린이집,가정,재개,24269,"강원특별자치도 춘천시 소양로2가 서부대성로 33 112동 101호(소양로2가, e편한세상춘천아파트)",033-256-8286,033-256-8284,3,60,0,4,9,19,13,37.88635788,127.7278521,미운영,,2005-12-23,,,
,강원,59,강원특별자치도,춘천시,꼬마숲둥지어린이집,민간,정상,24331,강원특별자치도 춘천시 둥지길 41 (효자동),033-243-4964,033-244-5445,7,205,1,10,15,73,63,37.87269485,127.7383696,운영,,2001-06-01,,,
,강원,60,강원특별자치도,춘천시,해피아이어린이집,민간,정상,24216,"강원특별자치도 춘천시 동면 만천로 107 101동 관리동 (동면,한일유앤아이아파트)",033-255-8829,033-254-8828,4,64,2,4,8,22,22,37.8799278,127.7631914,운영,,2006-12-29,,,
,강원,61,강원특별자치도,춘천시,이루어린이집,가정,정상,200783,"강원특별자치도 춘천시 영서로2141번길 33 102동 103호(퇴계동, 중앙하이츠빌1단지아파트)",033-257-2442,--,4,77,2,4,7,20,8,37.85504147,127.7361285,운영,,2006-12-29,,,
,강원,62,강원특별자치도,춘천시,해오름어린이집,가정,정상,24361,"강원특별자치도 춘천시 근화길15번길 26 105동 102호(근화동, 신성미소지움아파트)",033-255-5513,033-262-5703,4,76,1,7,7,20,18,37.87193032,127.7178796,미운영,http://cafe.daum.net/hea-orum,2007-03-14,,,
,강원,63,강원특별자치도,춘천시,코아루 어린이집,민간,정상,24229,"강원특별자치도 춘천시 새청말길 26 관리동1층 (우두동, 강변코아루아파트)",033-255-3454,033-255-3454,4,87,0,5,11,27,27,37.89712178,127.7368539,운영,,2007-03-14,,,
,강원,64,강원특별자치도,춘천시,다올어린이집,민간,정상,24378,"강원특별자치도 춘천시 퇴계로 168 관리동 (퇴계동, 퇴계주공2차아파트)",033-262-4698,033-262-4697,4,88,0,7,6,31,10,37.85835849,127.7351447,운영,http://cafe.naver.com/cckdlb,1999-12-08,,,
,강원,65,강원특별자치도,춘천시,새싹어린이집,민간,정상,24282,강원특별자치도 춘천시 부안길6번길 16 (후평동),033-251-5579,033-242-5579,5,169,1,5,6,49,9,37.87661796,127.7517099,운영,,2007-04-30,,,
,강원,66,강원특별자치도,춘천시,이안愛어린이집,민간,정상,24447,"강원특별자치도 춘천시 영서로 2169 관리동1층(퇴계동,퇴계대우이안아파트)",033-244-3677,033-244-3677,4,68,0,4,8,23,21,37.85831838,127.7311671,운영,,2008-06-05,,,
,강원,67,강원특별자치도,춘천시,스타어린이집,민간,정상,24465,강원특별자치도 춘천시 남산면 한치로 227-16 ,033-261-2171,033-261-8101,3,92,1,5,4,22,13,37.781815,127.656247,운영,,2009-11-26,,,
,강원,68,강원특별자치도,춘천시,우미린어린이집,가정,재개,24303,강원특별자치도 춘천시 보안길 36 후평동 우미린뉴시티 105동 104호,033-261-7931,033-262-7932,4,69,0,6,7,20,18,37.87825531,127.7527186,운영,,2009-11-27,,,
,강원,69,강원특별자치도,춘천시,오스타어린이집,가정,정상,24401,강원특별자치도 춘천시 동내면 춘천순환로 93 105동 101호( 현대성우오스타),033-255-8886,033-255-8886,3,64,0,4,9,20,16,37.85718385,127.7544866,운영,,2009-11-27,,,
,강원,70,강원특별자치도,춘천시,우리아이어린이집,가정,정상,24393,"강원특별자치도 춘천시 퇴계로 242 409동 101호(석사동, 퇴계주공4단지아파트)",033-264-9002,033-261-9088,4,85,0,4,6,16,9,37.85554572,127.744616,미운영,,2009-12-08,,,
,강원,71,강원특별자치도,춘천시,리베어린이집,가정,정상,24216,"강원특별자치도 춘천시 동면 만천로 107 104동 106호(만천리, 한일유앤아이아파트)",033-254-2511,033-254-2513,4,64,0,8,8,20,16,37.88063615,127.7623235,운영,,2009-12-08,,,
,강원,72,강원특별자치도,춘천시,우리어린이집,가정,정상,24302,"강원특별자치도 춘천시 세실로 261 606동 110호(후평동, 세경6단지아파트)",033-254-5882,-846,3,81,0,4,6,20,9,37.8887078,127.743271,운영,,2009-12-15,,,
,강원,73,강원특별자치도,춘천시,꿈별어린이집,가정,정상,24214,"강원특별자치도 춘천시 동면 삭주로 231 108동 106호(장학리, 춘천두산위브아파트)",033-252-3993,033-252-3996,4,65,0,4,9,20,18,37.89368148,127.7648553,운영,,2009-12-15,,,
,강원,74,강원특별자치도,춘천시,해닮어린이집,가정,정상,24454,"강원특별자치도 춘천시 행촌로 11 106-103(퇴계동, 한성한진아파트)",033-252-7999,033-252-7999,3,84,0,4,7,20,15,37.85944926,127.7225239,운영,네이버카페 해닮어린이집,2009-12-08,,,
,강원,75,강원특별자치도,춘천시,롯데캐슬어린이집,민간,정상,24222,"강원특별자치도 춘천시 마장길 58 (사농동,롯데캐슬아파트1단지 관리동)",033-241-1687,033-244-1687,4,128,1,5,8,30,16,37.90860672,127.7295462,미운영,,2009-12-17,,,
,강원,76,강원특별자치도,춘천시,예꼬어린이집,가정,정상,24318,"강원특별자치도 춘천시 우석로101번길 86 105동105호(석사동, 대우아파트)",033-256-7230,033-256-7230,4,66,0,4,7,20,11,37.86959953,127.7565998,미운영,,2010-02-18,,,
,강원,77,강원특별자치도,춘천시,그린맘어린이집,가정,정상,24424,"강원특별자치도 춘천시 안마산로 214 203동 103호(퇴계동, 퇴계금호타운2차아파트)",033-912-7171,033-912-7171,3,84,1,5,4,20,12,37.84993361,127.7367698,미운영,,2010-02-17,,,
,강원,78,강원특별자치도,춘천시,큰꿈어린이집,민간,정상,24259,강원특별자치도 춘천시 춘천로223번길 5 ,033-242-4177,033-242-4177,9,306,1,12,22,114,110,37.87829201,127.7383889,운영,,2009-11-26,,,
,강원,79,강원특별자치도,춘천시,롯데퍼스트어린이집,민간,재개,24222,"강원특별자치도 춘천시 마장길 60 (사농동,롯데캐슬 더 퍼스트 2단지 관리동)",033-242-1687,033-242-1638,3,80,0,5,8,27,27,37.90831801,127.7314797,운영,,2010-02-25,,,
,강원,80,강원특별자치도,춘천시,다현어린이집,민간,정상,24206,강원특별자치도 춘천시 율문4길 20 (신북읍 304-24),033-243-4181,033-243-5248,6,283,1,12,17,99,45,37.92802038,127.7483942,운영,,2010-02-23,,,
,강원,81,강원특별자치도,춘천시,더샵어린이집,민간,정상,24278,강원특별자치도 춘천시 후석로 325 포스코더샵아파트 관리동 (후평동),033-254-2711,070-8668-1905,5,142,1,7,11,35,31,37.87984631,127.7478875,미운영,,2010-03-05,,,
,강원,82,강원특별자치도,춘천시,베이비스쿨어린이집,가정,정상,24421,"강원특별자치도 춘천시 안마산로 217 102동 101호(퇴계동, 한주아파트)",070-7531-2606,--,4,82,0,5,5,20,8,37.85009996,127.7383321,운영,,2010-03-22,,,
,강원,83,강원특별자치도,춘천시,젤조아어린이집,가정,정상,24278,"강원특별자치도 춘천시 후석로 325 101동 106호(후평동, 춘천더샵아파트)",033-251-2551,033-251-2551,3,90,0,4,5,20,11,37.87984631,127.7478875,미운영,,2010-03-29,,,
,강원,84,강원특별자치도,춘천시,꿈나무어린이집,가정,정상,24432,"강원특별자치도 춘천시 영서로2141번길 25 204동106호(퇴계동,중앙하이츠빌2차아파트)",033-253-3600,033-257-5039,3,77,0,4,5,20,10,37.85623437,127.7359644,운영,,2010-03-31,,,
,강원,85,강원특별자치도,춘천시,꼬마무지개어린이집,가정,정상,24377,"강원특별자치도 춘천시 퇴계로 108 105동 102호(퇴계동, 유승한내들아파트)",033-253-3354,033-253-3354,4,76,0,5,6,20,10,37.86163,127.731,운영,,2010-03-31,,,
,강원,86,강원특별자치도,춘천시,해밀어린이집,가정,정상,24420,"강원특별자치도 춘천시 지석로 62 602동 103호[퇴계동, 퇴계(6)주공아파트]",033-253-7778,033-253-7768,3,59,0,4,8,16,16,37.85047366,127.7419968,운영,,2010-04-05,,,
,강원,87,강원특별자치도,춘천시,그린나래어린이집,가정,정상,24432,강원특별자치도 춘천시 수정길 33 중앙하이츠빌1단지 103동 106호,033-255-3516,033-255-3516,4,85,0,4,6,20,14,37.85527302,127.7362617,운영,,2010-04-05,,,
,강원,88,강원특별자치도,춘천시,키즈빌어린이집,가정,정상,24269,강원특별자치도 춘천시 소양로2가 서부대성로 33 107동 101호(e편한세상춘천아파트),033-254-2542,033-257-0826,4,54,0,4,9,19,14,37.8853955,127.7255465,미운영,,2010-04-12,,,
,강원,89,강원특별자치도,춘천시,예쁜꼬마들어린이집,가정,정상,24391,"강원특별자치도 춘천시 퇴계로 220-16 302동 104호(석사동, 현대아파트)",033-263-7005,033-264-9005,4,96,2,4,10,20,20,37.85553847,127.740828,운영,,2010-05-07,,,
,강원,90,강원특별자치도,춘천시,늘봄어린이집,가정,정상,24415,강원특별자치도 춘천시 지석로 97 석사현진에버빌1차 관리동,033-255-5437,033-255-5476,3,78,1,4,11,20,17,37.85092391,127.7462568,미운영,instagram.com/alwaysspring2023,2010-06-22,,,
,강원,91,강원특별자치도,춘천시,리라숲어린이집,민간,정상,24207,강원특별자치도 춘천시 영서로 3045 (사농동281-7번지외2필지),033-253-1690,033-242-3408,6,216,1,8,13,69,43,37.92412391,127.7206229,운영,,2010-07-08,,,
,강원,92,강원특별자치도,춘천시,강원대학교어린이집,직장,정상,24286,강원특별자치도 춘천시 서부대성로 257 ,033-251-2116,033-252-8813,7,404,1,18,24,99,89,37.87343014,127.7475965,미운영,,2010-08-30,,,
,강원,93,강원특별자치도,춘천시,베르디움어린이집,민간,정상,24401,"강원특별자치도 춘천시 동내면 외솔길19번길 80-7 (동내면, 호반베르디움아파트 관리동)",033-253-8914,033-253-8914,5,100,1,7,7,28,14,37.85854254,127.7589594,운영,,2010-11-29,,,
,강원,94,강원특별자치도,춘천시,두산봄샘어린이집,민간,정상,24214,강원특별자치도 춘천시 동면 삭주로 231 두산위브아파트 관리동,033-242-2368,033-242-2368,2,114,0,6,6,22,7,37.88969951,127.7562649,운영,,2010-12-09,,,
,강원,95,강원특별자치도,춘천시,성우어린이집,민간,정상,24401,"강원특별자치도 춘천시 춘천순환로 93 관리동(동내면, 현대성우오스타아파트)",033-252-6858,033-252-6855,4,87,0,5,7,28,10,37.85736484,127.7559065,운영,flcl0933,2011-03-17,,,
,강원,96,강원특별자치도,춘천시,단비어린이집,민간,정상,24375,강원특별자치도 춘천시 남춘천새길 11 휴먼시아남춘천1단지 의무보육시설(퇴계동 1097),033-263-7817,033-263-7817,4,121,0,6,8,39,22,37.86172772,127.7334508,운영,,2011-11-04,,,
,강원,97,강원특별자치도,춘천시,강원특별자치도청어린이집,직장,정상,24265,강원특별자치도 춘천시 봉의산길 37 (봉의동 4-9),033-251-8050,033-252-8061,15,847,1,70,53,183,172,37.88609742,127.7321934,미운영,,2011-11-30,,,
,강원,98,강원특별자치도,춘천시,이지어린이집,가정,정상,24377,"강원특별자치도 춘천시 퇴계로 128 , 205동106호(퇴계동, 휴먼시아남춘천2단지아파트)",033-261-7979,033-261-7974,3,58,1,4,5,20,9,37.86013404,127.7331552,운영,,2011-12-23,,,
,강원,99,강원특별자치도,춘천시,도담어린이집,가정,정상,24224,"강원특별자치도 춘천시 영서로 2920 109동104호(사농동, 현대아파트)",033-242-4779,033-242-4771,3,67,0,8,6,20,17,37.91340801,127.7231205,운영,,2011-12-23,,,
,강원,100,강원특별자치도,춘천시,나린어린이집,가정,정상,24378,"강원특별자치도 춘천시 퇴계로 168 208동103호(퇴계동, 퇴계주공2차아파트)",033-264-9912,033-264-9913,3,48,0,4,4,15,9,37.85760118,127.7360206,미운영,,2011-12-26,,,
,강원,101,강원특별자치도,춘천시,큰나무어린이집,가정,정상,24221,"강원특별자치도 춘천시 우두1길 70 102동 102호(우두동, 이지더원아파트)",033-241-6675,050-4288-6675,3,60,2,4,10,19,19,37.9079689,127.7354561,미운영,,2011-12-30,,,
,강원,102,강원특별자치도,춘천시,숲속키즈어린이집,가정,정상,24405,강원특별자치도 춘천시 거두택지길26번길 7 1층,033-261-7766,033-261-7766,4,77,0,5,7,20,10,37.85295271,127.7547408,운영,,2012-01-26,,,
,강원,103,강원특별자치도,춘천시,예인아이사랑어린이집,민간,정상,24220,강원특별자치도 춘천시 사우로 169 (우두동 170-5),033-253-9603,033-253-9605,8,254,1,12,17,96,81,37.90726934,127.7436642,운영,,2012-02-22,,,
,강원,104,강원특별자치도,춘천시,보물섬어린이집,가정,정상,24403,"강원특별자치도 춘천시 춘천순환로94번길 12 , 101동108호(거두리, 부영아파트)",033-241-3690,--,4,54,0,4,6,19,8,37.85555793,127.7536537,운영,http://blog.naver.com/hwa9097_,2012-02-24,,,
,강원,105,강원특별자치도,춘천시,이안키즈어린이집,가정,정상,24447,"강원특별자치도 춘천시 영서로 2169 103동 101호(퇴계동,퇴계이안아파트)",033-241-2332,033-241-2332,4,70,0,4,8,20,18,37.85757571,127.7317961,미운영,,2012-03-02,,,
